Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Josh Okogie,25,PHO,SG,4,0,7.3,1.3,2.3,.556,0.3,0.8,.333,1.0,1.5,.667,.611,0.8,1.5,.500,0.0,1.0,1.0,0.5,0.5,0.0,0.5,1.8,3.5,
Sam Merrill,27,CLE,SG,10,0,12.5,1.0,2.9,.345,1.0,2.7,.370,0.0,0.2,.000,.517,0.3,0.3,1.000,0.2,1.0,1.2,0.9,0.0,0.0,0.0,0.9,3.3,
Mason Plumlee,33,LAC,C,6,0,11.0,1.2,3.0,.389,0.0,0.0,,1.2,3.0,.389,.389,0.8,1.3,.625,1.2,2.2,3.3,0.7,0.5,0.3,0.3,2.2,3.2,
Anthony Black,20,ORL,PG,2,0,5.5,1.5,3.5,.429,0.0,1.0,.000,1.5,2.5,.600,.429,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,3.0,
Spencer Dinwiddie,30,LAL,PG,5,0,14.6,1.0,2.8,.357,0.4,1.6,.250,0.6,1.2,.500,.429,0.6,1.2,.500,0.2,1.2,1.4,1.6,0.4,0.2,0.2,1.4,3.0,
Luke Kornet,28,BOS,C,13,0,10.2,1.1,1.6,.667,0.0,0.0,,1.1,1.6,.667,.667,0.8,1.0,.846,1.5,1.7,3.2,0.5,0.1,0.4,0.5,0.8,3.0,
Markieff Morris,34,DAL,PF,1,0,12.0,1.0,5.0,.200,1.0,3.0,.333,0.0,2.0,.000,.300,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,
Chuma Okeke,25,ORL,SF,2,0,5.0,1.0,1.5,.667,0.5,1.0,.500,0.5,0.5,1.000,.833,0.5,0.5,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,
Daniel Theis,31,LAC,C,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,
Justin Holiday,34,DEN,SG,12,0,12.5,0.9,2.9,.314,0.9,2.4,.379,0.0,0.5,.000,.471,0.2,0.3,.500,0.1,1.6,1.7,0.3,0.5,0.0,0.3,1.3,2.9,
Amir Coffey,26,LAC,SF,6,3,18.7,1.2,3.7,.318,0.5,1.8,.273,0.7,1.8,.364,.386,0.0,0.0,,0.3,1.3,1.7,0.3,0.3,0.2,0.8,1.0,2.8,
A.J. Green,24,MIL,SG,6,0,11.2,1.0,2.7,.375,0.3,1.8,.182,0.7,0.8,.800,.438,0.5,0.5,1.000,0.0,1.5,1.5,0.3,0.0,0.0,0.2,1.5,2.8,
Georges Niang,30,CLE,PF,10,0,12.1,0.9,4.1,.220,0.3,2.3,.130,0.6,1.8,.333,.256,0.7,0.8,.875,0.3,0.9,1.2,0.4,0.4,0.2,0.7,1.8,2.8,
Mitchell Robinson,25,NYK,C,6,0,19.2,1.2,2.3,.500,0.0,0.0,,1.2,2.3,.500,.500,0.5,1.3,.375,3.8,3.0,6.8,0.5,1.0,1.2,0.5,2.5,2.8,
Duncan Robinson,29,MIA,SF,5,0,12.0,1.0,3.2,.313,0.6,2.6,.231,0.4,0.6,.667,.406,0.0,0.0,,0.0,1.0,1.0,1.2,0.4,0.0,1.0,1.2,2.6,
Jett Howard,20,ORL,SF,2,0,5.0,1.0,1.5,.667,0.5,0.5,1.000,0.5,1.0,.500,.833,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,2.5,
Andre Jackson Jr.,22,MIL,SG,5,0,12.0,1.0,2.2,.455,0.4,1.2,.333,0.6,1.0,.600,.545,0.0,0.0,,1.0,1.2,2.2,2.0,1.0,0.2,0.6,2.0,2.4,
Jae Crowder,33,MIL,PF,4,0,10.5,0.8,3.0,.250,0.3,1.8,.143,0.5,1.3,.400,.292,0.5,0.5,1.000,0.5,1.0,1.5,0.5,0.0,0.5,0.0,1.0,2.3,
Monte Morris,28,MIN,PG,9,0,7.4,1.0,3.3,.300,0.1,1.6,.071,0.9,1.8,.500,.317,0.2,0.2,1.000,0.1,0.6,0.7,1.0,0.2,0.1,0.0,0.7,2.3,
Julian Strawther,21,DEN,SF,3,0,5.3,0.7,2.0,.333,0.3,1.3,.250,0.3,0.7,.500,.417,0.7,1.3,.500,0.0,0.7,0.7,0.0,0.3,0.0,0.3,1.0,2.3,
Dante Exum,28,DAL,PG,21,0,6.9,0.8,2.1,.364,0.3,1.0,.350,0.4,1.1,.375,.443,0.2,0.3,.667,0.1,0.7,0.8,0.6,0.1,0.0,0.2,0.4,2.0,
DaQuan Jeffries,26,NYK,SG,4,0,5.0,0.8,2.0,.375,0.5,1.3,.400,0.3,0.8,.333,.500,0.0,0.0,,0.3,0.8,1.0,0.0,0.3,0.0,0.0,0.5,2.0,
DeAndre Jordan,35,DEN,C,2,0,6.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,1.0,1.0,1.000,0.5,1.0,1.5,0.0,0.5,0.5,0.0,2.0,2.0,
Jeremiah Robinson-Earl,23,NOP,PF,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,2.0,.000,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,
